Date,Open,High,Low,Settle,Volume
4/7/2015,120.609375,120.6171875,120.3671875,120.484375,427829
4/6/2015,120.84375,120.9140625,120.5546875,120.6015625,350051
4/2/2015,120.4375,120.6171875,120.328125,120.375,455917
4/1/2015,120.2109375,120.5078125,120.0859375,120.4296875,564890
3/31/2015,120.0859375,120.2265625,120.0234375,120.2109375,596762
3/30/2015,120.625,120.7421875,120.5703125,120.6328125,712
3/27/2015,120.6171875,120.6484375,120.6171875,120.6484375,3765
3/26/2015,120.7578125,120.7890625,120.3359375,120.3828125,3446
3/25/2015,120.8828125,120.96875,120.6328125,120.6484375,2476
3/24/2015,120.71875,120.8671875,120.6328125,120.8203125,943
3/23/2015,120.6015625,120.7265625,120.5625,120.6796875,3651
3/20/2015,120.4140625,120.6328125,120.3515625,120.6015625,688
3/19/2015,120.6640625,120.78125,120.2109375,120.28125,2733
3/18/2015,119.890625,120.78125,119.890625,120.5546875,7911
3/17/2015,119.8828125,120.015625,119.84375,119.84375,2846
3/16/2015,119.75,119.9375,119.7109375,119.8046875,2058
3/13/2015,119.6484375,119.8671875,119.5234375,119.734375,1726
3/12/2015,119.640625,119.96875,119.5703125,119.7265625,1052
3/11/2015,119.65625,119.6796875,119.40625,119.5625,10642
3/10/2015,119.359375,119.71875,119.3046875,119.5703125,11425
3/9/2015,119.125,119.3984375,119.1171875,119.375,9087
3/6/2015,119.734375,120.046875,119.0859375,119.171875,20030
3/5/2015,119.6640625,119.796875,119.546875,119.7421875,14882
3/4/2015,119.5234375,119.671875,119.46875,119.59375,25793
3/3/2015,119.6640625,119.71875,119.4609375,119.4765625,43425
3/2/2015,119.9921875,120.0390625,119.625,119.65625,55807
2/27/2015,119.859375,120.046875,119.7421875,119.9921875,258375
2/26/2015,120.171875,120.34375,119.765625,119.8671875,979660
2/25/2015,120.1640625,120.25,120.0390625,120.15625,1358719
2/24/2015,119.7421875,120.2109375,119.4609375,120.1796875,1646832
2/23/2015,119.515625,119.7734375,119.4296875,119.734375,1135102
2/20/2015,119.5390625,119.921875,119.3828125,119.4296875,775337
2/19/2015,119.8359375,119.9921875,119.5,119.578125,795489
2/18/2015,119.375,119.953125,119.1875,119.8359375,957715
2/17/2015,119.71875,119.9140625,119.2109375,119.3125,831024
2/13/2015,119.8984375,119.9140625,119.7109375,119.796875,502853
2/12/2015,119.6328125,119.953125,119.5078125,119.875,743011
2/11/2015,119.7578125,119.890625,119.5546875,119.7421875,528177
2/10/2015,119.765625,119.8671875,119.5859375,119.7421875,728306
2/9/2015,119.9453125,120.21875,119.7265625,119.8671875,721067
2/6/2015,120.8046875,121.125,119.84375,119.96875,1236241
2/5/2015,121.1171875,121.2109375,120.6796875,120.8203125,570693
2/4/2015,120.8515625,121.1328125,120.6171875,120.8515625,708051
2/3/2015,121.3671875,121.4453125,120.8203125,120.8984375,684263
2/2/2015,121.46875,121.5078125,121.1875,121.3515625,632767
1/30/2015,120.9140625,121.4609375,120.8671875,121.34375,857507
1/29/2015,121.0234375,121.078125,120.71875,120.8828125,656206
1/28/2015,120.5703125,121.140625,120.4921875,121.03125,807278
1/27/2015,120.5390625,120.890625,120.5,120.5703125,572799
1/26/2015,120.75,120.859375,120.4296875,120.4765625,521334
1/23/2015,120.4375,120.8359375,120.3984375,120.625,566087
1/22/2015,120.515625,120.765625,120.2109375,120.359375,811388
1/21/2015,120.78125,120.8828125,120.46875,120.546875,910215
1/20/2015,120.796875,121.03125,120.6640625,120.75,619670
1/16/2015,121.34375,121.4765625,120.7421875,120.796875,851260
1/15/2015,120.640625,121.4765625,120.390625,121.125,924876
1/14/2015,120.3984375,121.0234375,120.375,120.734375,909581
1/13/2015,120.2890625,120.546875,120.15625,120.4375,772018
1/12/2015,120.1171875,120.3125,119.984375,120.265625,551740
1/9/2015,119.71875,120.1875,119.6171875,119.984375,857421
1/8/2015,119.734375,119.78125,119.5859375,119.703125,582886
1/7/2015,119.75,119.8828125,119.546875,119.796875,854801
1/6/2015,119.296875,120.109375,119.28125,119.6953125,1030758
1/5/2015,119.0859375,119.34375,119,119.3125,471507
